Area_log,Room,Parking,Warehouse,Elevator,Address,Price_log
4.189654742026425,1,True,True,True,Southern Janatabad,11.51293546492023
4.8283137373023015,3,True,True,True,Pirouzi,11.792582951381458
4.430816798843313,2,True,True,True,Republic,11.060908383573674
5.602118820879701,4,True,True,True,Farmanieh,14.04662307257814
4.653960350157523,2,True,True,True,East Ferdows Boulevard,12.154784614286667
5.017279836814924,3,True,True,True,Zaferanieh,12.764738468105636
4.6443908991413725,3,True,True,True,West Ferdows Boulevard,11.57747339231356
3.8918202981106265,1,True,True,True,West Ferdows Boulevard,11.06665398721974
5.111987788356544,3,True,True,True,Gheitarieh,12.923914877701906
4.912654885736052,2,True,True,False,Gheitarieh,12.415797244071538
